votes,user_link,tier,notebook_name,num_visualizations,num_datafiles,time_published,relative_time_published,tags,language,num_comments,notebook_link
0,https://kaggle.com/jkb123,novice,Semantic search using Vespa.ai's cord19 index,0,0,Mon Mar 30 2020 17:22:23 GMT-0400 (Eastern Daylight Time),2h ago,[],Python,0,https://kaggle.com/jkb123/semantic-search-using-vespa-ai-s-cord19-index
0,https://kaggle.com/chaker1,novice,Document embeddings to find tasks related papers,6,0,Mon Mar 30 2020 15:49:56 GMT-0400 (Eastern Daylight Time),3h ago,[],Python,0,https://kaggle.com/chaker1/document-embeddings-to-find-tasks-related-papers
48,https://kaggle.com/maria17,novice,CORD-19: Explore Drugs Being Developed,8,0,Sun Mar 29 2020 18:49:29 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,9,https://kaggle.com/maria17/cord-19-explore-drugs-being-developed
0,https://kaggle.com/jiripodivin,novice,covsum,0,0,Mon Mar 30 2020 14:15:38 GMT-0400 (Eastern Daylight Time),5h ago,[],Python,0,https://kaggle.com/jiripodivin/covsum
0,https://kaggle.com/psrajput,contributor,CORD-19,0,0,Mon Mar 30 2020 14:14:08 GMT-0400 (Eastern Daylight Time),5h ago,"['health', 'beginner', 'nlp', 'data visualization', 'starter code']",Python,0,https://kaggle.com/psrajput/cord-19
103,https://kaggle.com/arturkiulian,novice,CoronaWhy.org - Global Collaboration (join slack),0,0,Mon Mar 30 2020 19:02:01 GMT-0400 (Eastern Daylight Time),2m ago,[],Python,16,https://kaggle.com/arturkiulian/coronawhy-org-global-collaboration-join-slack
0,https://kaggle.com/donkeys,expert,My Little Preprocessing,0,0,Mon Mar 30 2020 12:25:09 GMT-0400 (Eastern Daylight Time),7h ago,[],Python,0,https://kaggle.com/donkeys/my-little-preprocessing
0,https://kaggle.com/raymondjia,expert,3D World Heat Map of Cumulative Confirmed Case,0,0,Mon Mar 30 2020 11:34:50 GMT-0400 (Eastern Daylight Time),7h ago,['data visualization'],R,0,https://kaggle.com/raymondjia/3d-world-heat-map-of-cumulative-confirmed-case
0,https://kaggle.com/maonanwang,novice,Data analysis on Coronavirus,6,0,Mon Mar 30 2020 12:39:17 GMT-0400 (Eastern Daylight Time),6h ago,[],Python,0,https://kaggle.com/maonanwang/data-analysis-on-coronavirus
0,https://kaggle.com/ajrwhite,contributor,COVID-19 Risk factors,0,0,Mon Mar 30 2020 18:34:29 GMT-0400 (Eastern Daylight Time),29m ago,[],Python,0,https://kaggle.com/ajrwhite/covid-19-risk-factors
429,https://kaggle.com/maksimeren,novice,COVID-19 Literature Clustering,7,0,Sat Mar 21 2020 02:43:44 GMT-0400 (Eastern Daylight Time),10d ago,[],Python,101,https://kaggle.com/maksimeren/covid-19-literature-clustering
0,https://kaggle.com/ritam3144,contributor,Covid19 Challanges,4,0,Mon Mar 30 2020 08:25:45 GMT-0400 (Eastern Daylight Time),11h ago,[],Python,0,https://kaggle.com/ritam3144/covid19-challanges
13,https://kaggle.com/isaacmg,expert,SciBERT Embeddings,0,0,Mon Mar 30 2020 00:02:10 GMT-0400 (Eastern Daylight Time),19h ago,"['tutorial', 'data visualization', 'starter code']",Python,8,https://kaggle.com/isaacmg/scibert-embeddings
190,https://kaggle.com/danielwolffram,contributor,Topic Modeling: Finding Related Articles,26,1,Mon Mar 30 2020 13:39:26 GMT-0400 (Eastern Daylight Time),5h ago,"['epidemiology', 'text mining', 'recommendation', 'spaCy', 'covid19']",Python,24,https://kaggle.com/danielwolffram/topic-modeling-finding-related-articles
2,https://kaggle.com/mlconsult,contributor,virus strains,0,0,Sun Mar 29 2020 18:26:29 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/mlconsult/virus-strains
271,https://kaggle.com/jpmiller,master,Creating a Good Analytics Report,0,0,Sat Mar 21 2020 23:12:11 GMT-0400 (Eastern Daylight Time),9d ago,['data journalism'],Python,23,https://kaggle.com/jpmiller/creating-a-good-analytics-report
287,https://kaggle.com/xhlulu,grandmaster,"CORD-19: EDA, parse JSON and generate clean CSV🧹",0,1,Sat Mar 21 2020 18:09:52 GMT-0400 (Eastern Daylight Time),9d ago,"['beginner', 'eda', 'data cleaning']",Python,31,https://kaggle.com/xhlulu/cord-19-eda-parse-json-and-generate-clean-csv
0,https://kaggle.com/chuntolee,novice,CORD-19 Challenge: Titles topic modelling,1,0,Mon Mar 30 2020 05:59:43 GMT-0400 (Eastern Daylight Time),13h ago,[],Python,0,https://kaggle.com/chuntolee/cord-19-challenge-titles-topic-modelling
0,https://kaggle.com/darensin01,novice,Sentence embeddings with spaCy and scispacy,2,0,Mon Mar 30 2020 05:39:39 GMT-0400 (Eastern Daylight Time),13h ago,[],Python,0,https://kaggle.com/darensin01/sentence-embeddings-with-spacy-and-scispacy
6,https://kaggle.com/davidmezzetti,contributor,"CORD-19 Transmission, Incubation, Environment",0,0,Mon Mar 30 2020 00:11:28 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,7,https://kaggle.com/davidmezzetti/cord-19-transmission-incubation-environment
206,https://kaggle.com/tarunpaparaju,grandmaster,COVID-19 Dataset : Gaining actionable insights 📊,0,0,Mon Mar 23 2020 22:08:27 GMT-0400 (Eastern Daylight Time),7d ago,"['medicine', 'eda', 'nlp', 'text data', 'covid19']",Python,65,https://kaggle.com/tarunpaparaju/covid-19-dataset-gaining-actionable-insights
34,https://kaggle.com/ajrwhite,contributor,COVID-19 Thematic tagging with Regular Expressions,0,1,Sun Mar 29 2020 06:51:00 GMT-0400 (Eastern Daylight Time),2d ago,"['eda', 'nlp', 'feature engineering', 'starter code', 'covid19']",Python,17,https://kaggle.com/ajrwhite/covid-19-thematic-tagging-with-regular-expressions
1,https://kaggle.com/mikehatchi,novice,COVID-19 Risk Factors (Sci-NLP) Compiler,0,1,Mon Mar 30 2020 04:05:48 GMT-0400 (Eastern Daylight Time),15h ago,[],Python,3,https://kaggle.com/mikehatchi/covid-19-risk-factors-sci-nlp-compiler
4,https://kaggle.com/davidmezzetti,contributor,CORD-19 Diagnostics and Surveillance,0,0,Mon Mar 30 2020 00:12:57 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-diagnostics-and-surveillance
3,https://kaggle.com/davidmezzetti,contributor,CORD-19 Ethical and Social Science Considerations,0,0,Mon Mar 30 2020 00:13:07 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-ethical-and-social-science-considerations
4,https://kaggle.com/davidmezzetti,contributor,CORD-19 Medical Care,0,0,Mon Mar 30 2020 00:12:52 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-medical-care
4,https://kaggle.com/davidmezzetti,contributor,CORD-19 Non-Pharmaceutical Interventions,0,0,Mon Mar 30 2020 00:12:46 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-non-pharmaceutical-interventions
5,https://kaggle.com/narasimha1997,contributor,Faster Semantic search using Faiss,0,0,Sun Mar 29 2020 11:36:35 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/narasimha1997/faster-semantic-search-using-faiss
4,https://kaggle.com/davidmezzetti,contributor,CORD-19 Vaccines and Therapeutics,0,0,Mon Mar 30 2020 00:12:38 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-vaccines-and-therapeutics
4,https://kaggle.com/davidmezzetti,contributor,"CORD-19 Virus Genetics, Origin, and Evolution",0,0,Mon Mar 30 2020 00:12:32 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-virus-genetics-origin-and-evolution
4,https://kaggle.com/davidmezzetti,contributor,CORD-19 Risk Factors,0,0,Mon Mar 30 2020 00:12:10 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-risk-factors
7,https://kaggle.com/dannellyz,contributor,CORD19 Metadata Enrich: NIH API,3,1,Sun Mar 29 2020 16:19:42 GMT-0400 (Eastern Daylight Time),1d ago,"['data cleaning', 'data management', 'covid19']",Python,3,https://kaggle.com/dannellyz/cord19-metadata-enrich-nih-api
0,https://kaggle.com/daxman,novice,Covid-19 Corpus Pickle Factory,0,3,Mon Mar 30 2020 03:03:52 GMT-0400 (Eastern Daylight Time),16h ago,[],Python,0,https://kaggle.com/daxman/covid-19-corpus-pickle-factory
2,https://kaggle.com/ahmedewida,novice,COVID 19- TASKS FILTERING ,13,0,Mon Mar 30 2020 00:33:27 GMT-0400 (Eastern Daylight Time),19h ago,[],Python,0,https://kaggle.com/ahmedewida/covid-19-tasks-filtering
2,https://kaggle.com/davidmezzetti,contributor,CORD-19 Sharing and Collaboration,0,0,Mon Mar 30 2020 00:13:01 GMT-0400 (Eastern Daylight Time),19h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-sharing-and-collaboration
96,https://kaggle.com/gpreda,grandmaster,CORD-19 Solution Toolbox,3,0,Mon Mar 23 2020 07:18:06 GMT-0400 (Eastern Daylight Time),7d ago,[],Python,10,https://kaggle.com/gpreda/cord-19-solution-toolbox
1,https://kaggle.com/izzatalsmadi,novice,Extract COVID-19 treatments related articles,0,1,Sun Mar 29 2020 16:07:03 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,2,https://kaggle.com/izzatalsmadi/extract-covid-19-treatments-related-articles
95,https://kaggle.com/shahules,master,CORD : Tools and Knowledge graphs🛠️ 🛠️ ,10,0,Mon Mar 30 2020 10:32:18 GMT-0400 (Eastern Daylight Time),9h ago,"['research', 'nlp', 'covid19']",Python,21,https://kaggle.com/shahules/cord-tools-and-knowledge-graphs
5,https://kaggle.com/uplytics,novice,Evidence Gap Map for Risk Areas,0,0,Sun Mar 29 2020 12:19:07 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/uplytics/evidence-gap-map-for-risk-areas
66,https://kaggle.com/sixteenpython,novice,"COVID-19 - Temperature, Air Travel & Transmission ",0,0,Tue Mar 24 2020 15:07:26 GMT-0400 (Eastern Daylight Time),6d ago,[],Python,26,https://kaggle.com/sixteenpython/covid-19-temperature-air-travel-transmission
0,https://kaggle.com/ravitatakc,novice,covid19_1 Visualization,19,0,Sun Mar 29 2020 23:29:15 GMT-0400 (Eastern Daylight Time),20h ago,[],Python,0,https://kaggle.com/ravitatakc/covid19-1-visualization
0,https://kaggle.com/lalitapatel,novice,Correlation of COVID-19 to White-Nose Syndrome,0,0,Sun Mar 29 2020 23:28:02 GMT-0400 (Eastern Daylight Time),20h ago,[],Python,0,https://kaggle.com/lalitapatel/correlation-of-covid-19-to-white-nose-syndrome
48,https://kaggle.com/cstefanache,novice,NLP Text Mining - Disease behavior,7,0,Sat Mar 28 2020 11:59:16 GMT-0400 (Eastern Daylight Time),2d ago,"['nlp', 'spaCy']",Python,13,https://kaggle.com/cstefanache/nlp-text-mining-disease-behavior
2,https://kaggle.com/davidmezzetti,contributor,CORD-19 Report Builder,0,0,Mon Mar 30 2020 17:58:10 GMT-0400 (Eastern Daylight Time),1h ago,['covid19'],Python,0,https://kaggle.com/davidmezzetti/cord-19-report-builder
3,https://kaggle.com/latong,novice,Extractive text summarization + NER exploration,2,1,Sun Mar 29 2020 11:19:30 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/latong/extractive-text-summarization-ner-exploration
0,https://kaggle.com/something4kag,expert,COVID-19 Utility Script,0,0,Sun Mar 29 2020 23:03:14 GMT-0400 (Eastern Daylight Time),20h ago,['utility script'],Python,0,https://kaggle.com/something4kag/covid-19-utility-script
55,https://kaggle.com/ratan123,master,CORD-19:Understanding papers with TextAnalytics🔬,8,0,Sun Mar 22 2020 01:56:35 GMT-0400 (Eastern Daylight Time),9d ago,[],Python,21,https://kaggle.com/ratan123/cord-19-understanding-papers-with-textanalytics
52,https://kaggle.com/saga21,contributor,CORD-19 - Data extraction functions,3,0,Sat Mar 21 2020 19:32:53 GMT-0400 (Eastern Daylight Time),9d ago,"['data cleaning', 'nlp', 'text mining', 'covid19']",Python,7,https://kaggle.com/saga21/cord-19-data-extraction-functions
11,https://kaggle.com/group16,expert,COVID-19: Knowledge Graph Embeddings,4,0,Fri Mar 27 2020 08:19:34 GMT-0400 (Eastern Daylight Time),3d ago,[],Python,7,https://kaggle.com/group16/covid-19-knowledge-graph-embeddings
49,https://kaggle.com/d4v1d3,novice,CORD-19-LDA-Topic-modeling-reccomendation-system,0,1,Wed Mar 18 2020 08:35:25 GMT-0400 (Eastern Daylight Time),12d ago,[],Python,3,https://kaggle.com/d4v1d3/cord-19-lda-topic-modeling-reccomendation-system
26,https://kaggle.com/ztsincom,novice,Country-Based Study on COVID-19,66,36,Wed Mar 25 2020 14:45:15 GMT-0400 (Eastern Daylight Time),5d ago,[],Python,4,https://kaggle.com/ztsincom/country-based-study-on-covid-19
46,https://kaggle.com/tanulsingh077,contributor,A Comprehensive Resource Notebook For Beginners,0,0,Tue Mar 24 2020 04:33:38 GMT-0400 (Eastern Daylight Time),7d ago,"['beginner', 'eda', 'nlp', 'churn analysis', 'language resources']",Python,4,https://kaggle.com/tanulsingh077/a-comprehensive-resource-notebook-for-beginners
43,https://kaggle.com/paultimothymooney,staff,Most Common Words in the CORD-19 Dataset,2,0,Fri Mar 27 2020 20:04:04 GMT-0400 (Eastern Daylight Time),3d ago,"['healthcare', 'biology', 'covid19']",Python,6,https://kaggle.com/paultimothymooney/most-common-words-in-the-cord-19-dataset
28,https://kaggle.com/fmitchell259,contributor,Create Corona .csv File,0,1,Fri Mar 20 2020 02:40:39 GMT-0400 (Eastern Daylight Time),11d ago,[],Python,10,https://kaggle.com/fmitchell259/create-corona-csv-file
2,https://kaggle.com/dangelov,novice, COVID-19: Top2Vec Interactive Search,0,0,Sun Mar 29 2020 09:02:11 GMT-0400 (Eastern Daylight Time),1d ago,"['search engines', 'nlp', 'covid19']",Python,0,https://kaggle.com/dangelov/covid-19-top2vec-interactive-search
26,https://kaggle.com/ivanegapratama,contributor,COVID EDA: Initial Exploration Tool,1,0,Mon Mar 16 2020 22:50:33 GMT-0400 (Eastern Daylight Time),14d ago,"['eda', 'starter code']",Python,4,https://kaggle.com/ivanegapratama/covid-eda-initial-exploration-tool
14,https://kaggle.com/dattaraj,contributor,Risks of COVID-19 - AI driven Q&A,0,0,Sat Mar 21 2020 06:53:46 GMT-0400 (Eastern Daylight Time),10d ago,[],Python,6,https://kaggle.com/dattaraj/risks-of-covid-19-ai-driven-q-a
0,https://kaggle.com/ezekielyovel,novice,kernel5e2466e43e,0,0,Mon Mar 30 2020 15:39:34 GMT-0400 (Eastern Daylight Time),3h ago,[],Python,2,https://kaggle.com/ezekielyovel/kernel5e2466e43e
4,https://kaggle.com/anuraagsaini,novice,Corona Virus Data Visualization ,7,0,Mon Mar 30 2020 03:06:11 GMT-0400 (Eastern Daylight Time),16h ago,"['data cleaning', 'data visualization']",markdown,3,https://kaggle.com/anuraagsaini/corona-virus-data-visualization
0,https://kaggle.com/onyonixch,contributor,COVID-19: Deep Embedded Literature Clustering,7,0,Mon Mar 30 2020 14:58:30 GMT-0400 (Eastern Daylight Time),4h ago,[],Python,0,https://kaggle.com/onyonixch/covid-19-deep-embedded-literature-clustering
0,https://kaggle.com/danich329,novice,Exploring_corona_competition,0,0,Mon Mar 30 2020 18:20:35 GMT-0400 (Eastern Daylight Time),43m ago,[],Python,0,https://kaggle.com/danich329/exploring-corona-competition
6,https://kaggle.com/zoupet,expert,COVID-19 - Search Engine with Bert,0,0,Fri Mar 27 2020 04:37:41 GMT-0400 (Eastern Daylight Time),4d ago,[],Python,0,https://kaggle.com/zoupet/covid-19-search-engine-with-bert
25,https://kaggle.com/chirag9073,expert,CoronaVirus (COVID-19) Outbreak Data Analysis,3,0,Fri Mar 27 2020 02:48:26 GMT-0400 (Eastern Daylight Time),4d ago,[],Python,20,https://kaggle.com/chirag9073/coronavirus-covid-19-outbreak-data-analysis
5,https://kaggle.com/mlconsult,contributor,summary page vaccines and therapeutics,0,1,Sat Mar 28 2020 13:37:08 GMT-0400 (Eastern Daylight Time),2d ago,[],Python,1,https://kaggle.com/mlconsult/summary-page-vaccines-and-therapeutics
15,https://kaggle.com/hamid3731,novice,KeyPhrase Extraction and Graph analysis,3,0,Sun Mar 29 2020 03:04:45 GMT-0400 (Eastern Daylight Time),2d ago,"['text mining', 'data visualization', 'clustering', 'covid19']",Python,5,https://kaggle.com/hamid3731/keyphrase-extraction-and-graph-analysis
14,https://kaggle.com/mlconsult,contributor,summary page COVID-19 risk factors,0,1,Sat Mar 28 2020 13:01:54 GMT-0400 (Eastern Daylight Time),2d ago,[],Python,1,https://kaggle.com/mlconsult/summary-page-covid-19-risk-factors
0,https://kaggle.com/robbieedwards,novice,COVID-19 LDA Notebook,0,1,Sun Mar 29 2020 19:02:23 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/robbieedwards/covid-19-lda-notebook
1,https://kaggle.com/cedna198,novice,Visualization of Virus Origin & Genetic Evolution,0,0,Sun Mar 29 2020 12:50:28 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/cedna198/visualization-of-virus-origin-genetic-evolution
20,https://kaggle.com/albertoferrari,contributor,Most mentioned antivirals,2,0,Wed Mar 25 2020 06:47:11 GMT-0400 (Eastern Daylight Time),6d ago,[],Python,12,https://kaggle.com/albertoferrari/most-mentioned-antivirals
19,https://kaggle.com/panosc,master,Epidemiological curves using ECDC data,5,0,Tue Mar 24 2020 08:40:17 GMT-0400 (Eastern Daylight Time),6d ago,"['epidemiology', 'data visualization', 'statistical analysis', 'covid19']",R,2,https://kaggle.com/panosc/epidemiological-curves-using-ecdc-data
19,https://kaggle.com/docxian,expert,CORD-19 Metadata Evaluation,7,1,Sun Mar 22 2020 17:42:52 GMT-0400 (Eastern Daylight Time),8d ago,"['epidemiology', 'medicine', 'eda', 'starter code']",Python,2,https://kaggle.com/docxian/cord-19-metadata-evaluation
18,https://kaggle.com/luisblanche,contributor,CORD-19 Match articles to tasks w/ Doc2Vec,1,0,Fri Mar 27 2020 11:27:55 GMT-0400 (Eastern Daylight Time),3d ago,"['beginner', 'nlp', 'clustering', 'pca', 'starter code']",Python,8,https://kaggle.com/luisblanche/cord-19-match-articles-to-tasks-w-doc2vec
1,https://kaggle.com/dangelov,novice,COVID-19: Topic Modeling and Search with Top2Vec,20,0,Sun Mar 29 2020 11:10:34 GMT-0400 (Eastern Daylight Time),1d ago,"['search engines', 'nlp', 'covid19']",Python,1,https://kaggle.com/dangelov/covid-19-topic-modeling-and-search-with-top2vec
1,https://kaggle.com/arturkiulian,novice,CoronaWhy.org - Task: Risk Factors,0,0,Mon Mar 30 2020 00:46:39 GMT-0400 (Eastern Daylight Time),18h ago,[],Python,0,https://kaggle.com/arturkiulian/coronawhy-org-task-risk-factors
2,https://kaggle.com/thebooort,contributor,Epidemiology math models used in Research,0,0,Sun Mar 29 2020 09:25:12 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/thebooort/epidemiology-math-models-used-in-research
3,https://kaggle.com/mlconsult,contributor,Age Dependent Incubation Period,0,0,Sat Mar 28 2020 11:12:37 GMT-0400 (Eastern Daylight Time),2d ago,[],Python,1,https://kaggle.com/mlconsult/age-dependent-incubation-period
7,https://kaggle.com/nabeelsajid917,novice,COVID-19 Detection from X Ray Images of Lungs,2,0,Mon Mar 23 2020 14:19:11 GMT-0400 (Eastern Daylight Time),7d ago,[],Python,2,https://kaggle.com/nabeelsajid917/covid-19-detection-from-x-ray-images-of-lungs
17,https://kaggle.com/jdparsons,contributor,BioBERT+CorEx Topic Search,1,0,Mon Mar 23 2020 15:37:25 GMT-0400 (Eastern Daylight Time),7d ago,[],Python,5,https://kaggle.com/jdparsons/biobert-corex-topic-search
17,https://kaggle.com/adelfdelvalleperez,novice,CORD-19 : FastText words clustering,7,0,Sat Mar 21 2020 20:51:53 GMT-0400 (Eastern Daylight Time),9d ago,"['medicine', 'beginner', 'nlp', 'data visualization', 'covid19']",Python,6,https://kaggle.com/adelfdelvalleperez/cord-19-fasttext-words-clustering
0,https://kaggle.com/danielwolffram,contributor,CORD-19: Create Dataframe,0,1,Mon Mar 30 2020 12:24:19 GMT-0400 (Eastern Daylight Time),7h ago,[],Python,0,https://kaggle.com/danielwolffram/cord-19-create-dataframe
1,https://kaggle.com/dannellyz,contributor,CORD19 Metadata Enrich: Altmetric API,0,1,Sat Mar 28 2020 17:23:16 GMT-0400 (Eastern Daylight Time),2d ago,"['computer science', 'data cleaning', 'social networks', 'covid19']",Python,1,https://kaggle.com/dannellyz/cord19-metadata-enrich-altmetric-api
16,https://kaggle.com/acmiyaguchi,novice,PySpark DataFrame Preprocessing for CORD-19,0,0,Wed Mar 18 2020 23:09:15 GMT-0400 (Eastern Daylight Time),12d ago,"['data cleaning', 'preprocessing', 'starter code']",Python,7,https://kaggle.com/acmiyaguchi/pyspark-dataframe-preprocessing-for-cord-19
5,https://kaggle.com/andreamorgar,novice,COVID19,6,1,Fri Mar 27 2020 12:55:24 GMT-0400 (Eastern Daylight Time),3d ago,[],Python,1,https://kaggle.com/andreamorgar/covid19
0,https://kaggle.com/cheenguyen,novice,AaaAaa,0,1,Sun Mar 29 2020 11:25:06 GMT-0400 (Eastern Daylight Time),1d ago,[],Python,0,https://kaggle.com/cheenguyen/aaaaaa
15,https://kaggle.com/rohailsyed,contributor,Consolidating Effects of Risk Factors on COVID-19,0,0,Tue Mar 24 2020 18:50:24 GMT-0400 (Eastern Daylight Time),6d ago,[],Python,5,https://kaggle.com/rohailsyed/consolidating-effects-of-risk-factors-on-covid-19
5,https://kaggle.com/tintedblast,novice,COVID-19 Open Research Dataset (CORD-19)-Analysis,5,0,Tue Mar 24 2020 14:44:13 GMT-0400 (Eastern Daylight Time),6d ago,[],Python,1,https://kaggle.com/tintedblast/covid-19-open-research-dataset-cord-19-analysis
15,https://kaggle.com/crprpr,contributor,Vaccine data filter,2,0,Tue Mar 17 2020 22:42:23 GMT-0400 (Eastern Daylight Time),13d ago,"['data cleaning', 'nlp', 'covid19']",Python,8,https://kaggle.com/crprpr/vaccine-data-filter
5,https://kaggle.com/cogitae,expert,Create Corona .csv File,0,1,Tue Mar 17 2020 12:33:40 GMT-0400 (Eastern Daylight Time),13d ago,[],Python,2,https://kaggle.com/cogitae/create-corona-csv-file
15,https://kaggle.com/salmanhiro,expert,World Covid-19 EDA,1,0,Wed Mar 18 2020 10:58:58 GMT-0400 (Eastern Daylight Time),12d ago,"['healthcare', 'epidemiology', 'eda', 'data visualization']",Python,3,https://kaggle.com/salmanhiro/world-covid-19-eda
5,https://kaggle.com/trilabs,contributor,COVID2020,0,0,Tue Mar 17 2020 07:25:26 GMT-0400 (Eastern Daylight Time),13d ago,[],Python,0,https://kaggle.com/trilabs/covid2020
14,https://kaggle.com/mpwolke,expert,Non-pharmaceutical interventions Covid-19,2,0,Wed Mar 18 2020 12:53:20 GMT-0400 (Eastern Daylight Time),12d ago,[],Python,6,https://kaggle.com/mpwolke/non-pharmaceutical-interventions-covid-19
13,https://kaggle.com/hamditarek,expert,Topic Modelling: Journals Content About COVID-19📄,7,0,Tue Mar 17 2020 07:39:15 GMT-0400 (Eastern Daylight Time),13d ago,[],Python,6,https://kaggle.com/hamditarek/topic-modelling-journals-content-about-covid-19
2,https://kaggle.com/mmoeller,novice,A references-based atlas of COVID-19 research,0,1,Fri Mar 27 2020 09:33:17 GMT-0400 (Eastern Daylight Time),3d ago,[],Python,2,https://kaggle.com/mmoeller/a-references-based-atlas-of-covid-19-research
3,https://kaggle.com/tylersuard,novice,Mat2Vec/COVID papers: Unexpected word asociations,0,0,Sun Mar 29 2020 03:21:42 GMT-0400 (Eastern Daylight Time),2d ago,[],Python,6,https://kaggle.com/tylersuard/mat2vec-covid-papers-unexpected-word-asociations
