name,views,char_length,packages
CORD-19: Simple Scikit- Topic Models + Doc2Vec,72,5269,"['pathlib.Path', 'os', 'json', 'string.punctuation', 're', 'warnings', 'string', 'numpy', 'pandas', 'dask.dataframe', 'hvplot.pandas', 'holoviews', 'matplotlib.pyplot', 'sklearn.base.BaseEstimator', 'sklearn.base.MetaEstimatorMixin', 'sklearn.utils.metaestimators.if_delegate_has_method', 'sklearn.datasets.load_files', 'sklearn.pipeline.Pipeline', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.cluster.DBSCAN', 'umap.UMAP', 'gensim.sklearn_api.D2VTransformer', 'gensim.sklearn_api.W2VTransformer']"
CORD19-Metadata Enrich: Microsoft Academic API,43,847,"['pandas', 'numpy', 'kaggle_secrets.UserSecretsClient', 'requests', 'json', 'tqdm.notebook.tqdm']"
COVID-19: EDA with recent update on March,756,5910,"['gc', 'os', 'pathlib.Path', 'random', 'sys', 'tqdm.notebook.tqdm', 'numpy', 'pandas', 'scipy', 'matplotlib.pyplot', 'seaborn', 'IPython.core.display.display', 'IPython.core.display.HTML', 'plotly.tools', 'plotly.subplots', 'plotly.offline', 'plotly.graph_objs', 'plotly.express', 'plotly.figure_factory', 'plotly.io', 'sklearn.preprocessing', 'sklearn.model_selection.KFold', 'lightgbm', 'xgboost', 'catboost']"
Semantic search using Vespa.ai's cord19 index,73,272,"['os', 'transformers.AutoTokenizer', 'transformers.AutoModelWithLMHead', 'sentence_transformers.SentenceTransformer', 'sentence_transformers.models', 'requests']"
Document embeddings to find tasks related papers,75,1561,"['pandas', 'calendar', 'wordcloud.WordCloud', 'matplotlib.pyplot', 'gensim.corpora.Dictionary', 'gensim.models', 'gensim.models.doc2vec.Doc2Vec', 'gensim.models.doc2vec.TaggedDocument', 'pprint.pprint', 'cleantext', 'nltk.stem.WordNetLemmatizer', 'nltk', 'tqdm.tqdm', 'sklearn.decomposition.TruncatedSVD', 'csv']"
CORD-19: Explore Drugs Being Developed,"2,151",6443,"['sys', 'glob', 'json', 'pandas', 'pickle', 'spacy', 'spacy.displacy', 'spacy.matcher.Matcher', 'tqdm.tqdm', 'en_ner_bc5cdr_md', 'os', 'collections.Counter', 'matplotlib.pyplot', 'chembl_webresource_client.new_client.new_client', 'rdkit', 'rdkit.Chem', 'rdkit.Chem.Draw', 'py3Dmol#Amazinglibraryfor3Dvisualization', 'rdkit.Chem.AllChem', 'ipywidgets.interact', 'ipywidgets.interactive', 'ipywidgets.fixed', 'IPython.display.Image', 'cv2', 'numpy', 'mpl_toolkits.mplot3d.Axes3D', 'sklearn.decomposition', 'sklearn.datasets', 'sklearn.cluster.KMeans', 'gc', 'ipywidgets', 'ipywidgets.interact_manual', 'IPython.core.display.HTML', 'matplotlib.patches']"
covsum,53,4155,"['numpy', 'pandas', 'json', 're', 'random', 'string', 'collections.Counter', 'itertools.chain', 'nltk.corpus.stopwords', 'nltk.corpus.udhr', 'os']"
CORD-19,96,74,"['numpy', 'tqdm.tqdm', 'nltk.corpus.stopwords', 'nltk.stem.porter.PorterStemmer']"
CoronaWhy.org - Global Collaboration (join slack),"5,912",12850,['IPython.display.HTML']
My Little Preprocessing,22,4669,"['numpy', 'pandas', 'os', 'tqdm.auto.tqdm', 'json', 'nltk', 're', 'string', 'collections', 'nltk.util.ngrams', 'nltk.corpus.stopwords', 'spacy', 'glob', 'urllib.parse.urlparse', 'collections.defaultdict', 'hashlib', 'langdetect.detect', 'enchant', 'weighted_levenshtein.lev', 'weighted_levenshtein.osa', 'weighted_levenshtein.dam_lev', 'Levenshtein', 'time', 'gensim.models.Phrases', 'gensim', 'multiprocessing.Pool', 'psutil', 'gc']"
3D World Heat Map of Cumulative Confirmed Case,138,505,[]
Data analysis on Coronavirus,210,2104,"['IPython.display.Image', 'numpy', 'pandas', 'matplotlib', 'matplotlib.pyplot', 'plotly.express', 'plotly.graph_objects', 'country_converter', 'functools', 'sklearn.linear_model.LinearRegression', 'sklearn.model_selection.RandomizedSearchCV', 'sklearn.model_selection.train_test_split', 'sklearn.preprocessing.PolynomialFeatures', 'sklearn.svm.SVR', 'sklearn.metrics.mean_squared_error', 'sklearn.metrics.mean_absolute_error', 'copy']"
COVID-19 Risk factors,135,315,"['covid19_tools', 'pandas', 're', 'IPython.core.display.display', 'IPython.core.display.HTML', 'html']"
COVID-19 Literature Clustering,"41,351",7140,"['IPython.display.Image', 'numpy', 'pandas', 'glob', 'json', 'matplotlib.pyplot', 're', 'sklearn.feature_extraction.text.HashingVectorizer', 'sklearn.model_selection.train_test_split', 'sklearn.manifold.TSNE', 'matplotlib.pyplotasplt', 'seaborn', 'sklearn.cluster.KMeans', 'sklearn.model_selection.cross_val_score', 'sklearn.ensemble.RandomForestClassifier', 'sklearn.model_selection.cross_val_predict', 'sklearn.metrics.precision_score', 'sklearn.metrics.recall_score', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.cluster.MiniBatchKMeans', 'sklearn.decomposition.PCA', 'mpl_toolkits.mplot3d.Axes3D', 'random', 'bokeh.models.ColumnDataSource', 'bokeh.models.HoverTool', 'bokeh.models.LinearColorMapper', 'bokeh.models.CustomJS', 'bokeh.palettes.Category20', 'bokeh.transform.linear_cmap', 'bokeh.io.output_file', 'bokeh.io.show', 'bokeh.transform.transform', 'bokeh.io.output_notebook', 'bokeh.plotting.figure', 'bokeh.layouts.column', 'bokeh.models.RadioButtonGroup', 'bokeh.models.TextInput', 'bokeh.layouts.gridplot', 'bokeh.models.Div', 'bokeh.models.Paragraph', 'bokeh.layouts.widgetbox']"
Covid19 Challanges,22,187,"['numpy', 'pandas', 'os', 'tqdm.tqdm', 'json', 're', 'string', 'wordcloud.WordCloud', 'matplotlib.pyplotasplt']"
SciBERT Embeddings,"1,185",4855,"['torch', 'transformers.BertTokenizer', 'transformers.BertModel', 'sklearn.metrics.pairwise.cosine_similarity', 'umap', 'os', 'json', 'bokeh.plotting.figure', 'bokeh.plotting.show', 'bokeh.plotting.output_notebook', 'bokeh.models.HoverTool', 'bokeh.models.ColumnDataSource', 'bokeh.models.CategoricalColorMapper', 'bokeh.palettes.Spectral10', 'bokeh.palettes.Category20c', 'bokeh.palettes.magma', 'pandas', 'sklearn.decomposition.PCA', 'collections', 'gc', 'pickle', 'bm25_index.BM25Index']"
Topic Modeling: Finding Related Articles,"17,808",2640,"['IPython.utils.io', 'numpy', 'pandas', 'sklearn.feature_extraction.text', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'scispacy', 'spacy', 'en_core_sci_md', 'scipy.spatial.distance.jensenshannon', 'joblib', 'IPython.display.HTML', 'IPython.display.display', 'ipywidgets.interact', 'ipywidgets.Layout', 'ipywidgets.HBox', 'ipywidgets.VBox', 'ipywidgets.Box', 'ipywidgets', 'IPython.display.clear_output', 'tqdm.tqdm', 'os.path.isfile', 'seaborn', 'matplotlib.pyplot']"
virus strains,36,180,"['numpy', 'pandas', 'search_func_py.*']"
Creating a Good Analytics Report,"23,681",3799,[]
"CORD-19: EDA, parse JSON and generate clean CSV🧹","13,379",1753,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'tqdm.notebook.tqdm']"
CORD-19 Challenge: Titles topic modelling,57,5888,"['numpy', 'pandas', 'nltk', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'nltk.stem.WordNetLemmatizer', 're', 'string', 'langdetect.detect', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text', 'gensim.matutils', 'gensim.models', 'scipy.sparse', 'gensim.models.CoherenceModel', 'gensim.corpora', 'pyLDAvis', 'pyLDAvis.gensim', 'matplotlib.pyplot', 'pickle']"
Sentence embeddings with spaCy and scispacy,49,630,"['glob', 'json', 'pandas', 'numpy', 'scispacy', 'spacy', 'matplotlib.pyplot', 'wordcloud.WordCloud', 'itertools.chain', 'collections.Counter', 'sklearn.metrics.pairwise.cosine_distances', 'sklearn.metrics.pairwise.manhattan_distances', 'pprint.pprint', 'tqdm.notebook.trange', 'tqdm.notebook.tqdm']"
"CORD-19 Transmission, Incubation, Environment",474,1583,"['IPython.display.display', 'IPython.display.Markdown']"
COVID-19 Dataset : Gaining actionable insights 📊,"16,724",10059,"['os', 'gc', 're', 'folium', 'scipy.stats', 'warnings', 'math', 'numpy', 'scipy', 'pandas', 'pycountry', 'sklearn.metrics', 'sklearn.utils.shuffle', 'gensim.models.Word2Vec', 'sklearn.cluster.KMeans', 'sklearn.decomposition.PCA', 'nltk', 'textblob.TextBlob', 'wordcloud.WordCloud', 'nltk.corpus.wordnet', 'nltk.corpus.stopwords', 'nltk.WordNetLemmatizer', 'nltk.stem.WordNetLemmatizer', 'nltk.sentiment.vader.SentimentIntensityAnalyzer', 'random', 'networkx', 'pandas.Timestamp', 'requests', 'IPython.display.HTML', 'seaborn', 'tqdm.tqdm', 'matplotlib.cm', 'matplotlib.pyplot', 'plotly.express', 'plotly.graph_objects', 'plotly.figure_factory', 'plotly.subplots.make_subplots']"
COVID-19 Thematic tagging with Regular Expressions,"2,435",3073,"['plotly.express', 'plotly.graph_objects', 'pandas', 're', 'pycountry']"
COVID-19 Risk Factors (Sci-NLP) Compiler,128,2199,"['pandas', 'io.StringIO', 'scispacy', 'spacy#needstoupdatespacytoloadSciSpacymodel.', 'spacy.displacy', 'spacy', 'os', 'json', 'glob', 'spacy.matcher.Matcher', 'spacy.matcher.PhraseMatcher']"
CORD-19 Diagnostics and Surveillance,110,3804,"['IPython.display.display', 'IPython.display.Markdown']"
CORD-19 Ethical and Social Science Considerations,82,1531,"['IPython.display.display', 'IPython.display.Markdown']"
CORD-19 Medical Care,107,2179,"['IPython.display.display', 'IPython.display.Markdown']"
CORD-19 Non-Pharmaceutical Interventions,89,1922,"['IPython.display.display', 'IPython.display.Markdown']"
Faster Semantic search using Faiss,145,3419,"['torch', 'transformers', 'numpy', 'pandas', 'sklearn.metrics.pairwise.cosine_similarity', 'json', 'time', 'faiss']"
CORD-19 Vaccines and Therapeutics,103,1524,"['IPython.display.display', 'IPython.display.Markdown']"
"CORD-19 Virus Genetics, Origin, and Evolution",120,1300,"['IPython.display.display', 'IPython.display.Markdown']"
CORD-19 Risk Factors,167,870,"['IPython.display.display', 'IPython.display.Markdown']"
CORD19 Metadata Enrich: NIH API,160,2686,"['pandas', 'matplotlib.pyplot', 'urllib.request.urlopen', 'xml.etree.ElementTree', 'tqdm.notebook.tqdm']"
Covid-19 Corpus Pickle Factory,17,87,"['pandas', 'os', 'json', 'glob', 'sys', 'urllib', 'pickle', 'gc', 're', 'random', 'os.path', 'summa.summarizer.summarize', 'summa.keywords.keywords']"
COVID 19- TASKS FILTERING ,285,2909,"['numpy', 'pandas', 'os', 'matplotlib.pyplot', 'json', 'glob', 'sys', 'gensim.parsing.preprocessing.remove_stopwords', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'time', 're', 'nltk', 'nltk.corpus.stopwords', 'nltk.stem.porter.PorterStemmer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.cluster.MiniBatchKMeans', 'sklearn.decomposition.PCA', 'mpl_toolkits.mplot3d.Axes3D', 'gensim.corpora', 'gensim.models', 'gensim.similarities', 'sklearn.metrics.pairwise.cosine_similarity', 'nltk.tokenize.word_tokenize', 'nltk.tokenize.sent_tokenize', 'seaborn', 'termcolor.colored', 'colorama.Fore', 'IPython.core.display.display', 'IPython.core.display.HTML']"
CORD-19 Sharing and Collaboration,60,1765,"['IPython.display.display', 'IPython.display.Markdown']"
CORD-19 Solution Toolbox,"7,567",1492,"['numpy', 'pandas', 'os', 'json', 'tqdm.tqdm', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'matplotlib.pyplot', 'tqdm.tqdm_notebook', 'seaborn']"
Extract COVID-19 treatments related articles,47,2,"['numpy', 'pandas', 'os', 'nltk', 'nltk.corpus.stopwords', 're']"
CORD : Tools and Knowledge graphs🛠️ 🛠️ ,"6,275",683,"['sklearn.feature_extraction.text.CountVectorizer', 'sklearn.metrics.pairwise.cosine_similarity', 'nltk.stem.WordNetLemmatizer', 'nltk.stem.PorterStemmer', 'nltk.tokenize.word_tokenize', 'sklearn.cluster.DBSCAN', 'nltk.corpus.stopwords', 'spacy.matcher.Matcher', 'collections.Counter', 'matplotlib.pyplot', 'spacy.tokens.Span', 'tensorflow_hub', 'rake_nltk.Rake', 'tensorflow', 'pyLDAvis.gensim', 'tqdm.tqdm', 'seaborn', 'networkx', 'pandas', 'numpy', 'pyLDAvis', 'gensim', 'spacy', 'os', 'gc', 're', 'RAKE', 'operator', 'logging', 'pytextrank', 'sys']"
Evidence Gap Map for Risk Areas,206,2282,"['pandas', 'numpy', 're', 'glob', 'json', 'gensim', 'gensim.models', 'gensim.similarities', 'gensim.models.doc2vec.TaggedDocument', 'gensim.models.doc2vec.Doc2Vec', 'sklearn.manifold.TSNE', 'numpy.random.seed', 'numpy.random.randint', 'plotly.offline.init_notebook_mode', 'plotly.offline.iplot', 'plotly.graph_objects']"
"COVID-19 - Temperature, Air Travel & Transmission ","7,370",3175,"['numpy', 'pandas', 'seaborn', 'matplotlib.pyplot', ""warnings#currentversionofseaborngeneratesabunchofwarningsthatwe'llignore"", 'os', 'plotly', 'plotly.graph_objects', 'plotly.offline.download_plotlyjs', 'plotly.offline.init_notebook_mode', 'plotly.offline.plot', 'plotly.offline.iplot', 'plotly.offline', 'plotly.express', 'pandas.plotting.parallel_coordinates']"
covid19_1 Visualization,36,284,"['numpy', 'pandas', 'matplotlib', 'matplotlib.pyplot', 'folium', 'os', 'datetime.datetime', 'datetime.timedelta', 'datetime.date']"
Correlation of COVID-19 to White-Nose Syndrome,129,2653,"['pandas', 'numpy', 'math', 'folium', 'IPython.display.HTML', 'IPython.display.display']"
NLP Text Mining - Disease behavior,"3,714",2543,"['os', 're', 'json', 'math', 'numpy', 'pandas', 'matplotlib.pyplot', 'matplotlib.pyplot.figure', 'seaborn', 'spacy', 'spacy.matcher.Matcher', 'tqdm.tqdm']"
CORD-19 Report Builder,145,123,"['io.StringIO', 'IPython.display.display', 'IPython.display.Markdown', 'cord19q.models.Models', 'cord19q.report.Report']"
Extractive text summarization + NER exploration,390,1666,"['numpy', 'pandas', 'json', 'glob', 'sys', '.OrderedDict', 'os', 're', 'warnings', 'seaborn', 'matplotlib.pyplot', 'summarizer.Summarizer', 'spacy', 'spacy.displacy', 'collections.Counter', 'en_ner_bionlp13cg_md', 'medacy.model.model.Model', 'en_core_med7_lg']"
COVID-19 Utility Script,15,2,"['numpy', 'pandas', 'os', 'json', 'IPython.display.Image', 'IPython.core.display.HTML', 're', 're.finditer', 'nltk', 'spacy', 'nltk.stem.PorterStemmer', 'collections.defaultdict']"
CORD-19:Understanding papers with TextAnalytics🔬,"3,230",3038,"['string', 'numpy', 'pandas', 'random', 'collections.defaultdict', 'matplotlib.pyplot', 'seaborn', 'tqdm.tqdm', 'nltk', 're', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'plotly.tools', 'chart_studio.plotly', 'plotly.offline.init_notebook_mode', 'plotly.offline.iplot', 'plotly.graph_objs', 'plotly.figure_factory', 'time', 'pyLDAvis.sklearn', 'pylab.bone', 'pylab.pcolor', 'pylab.colorbar', 'pylab.plot', 'pylab.show', 'pylab.rcParams', 'pylab.savefig', 'textstat', 'spacy', 'spacy.lang.en.stop_words.STOP_WORDS', 'gensim.summarization.summarizer.summarize', 'spacy.lang.en.English', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.NMF', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.decomposition.TruncatedSVD', 'statistics.*', 'concurrent.futures', 'os', 'warnings', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS']"
CORD-19 - Data extraction functions,"5,916",8465,"['numpy', 'pandas', 'matplotlib.pyplot', 'time', 'warnings', 'heapq.nlargest', 'spacy', 'spacy.lang.en.English', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'scipy.sparse.csr.csr_matrix#needthisifyouwanttosavetfidf_matrix', 'os']"
COVID-19: Knowledge Graph Embeddings,675,1577,"['numpy', 'pandas', 'matplotlib.pyplot', 'tqdm.tqdm_notebook', 'rdflib', 'sklearn.metrics.pairwise.cosine_similarity', 'sklearn.manifold.TSNE', 'sys', 'graph.KnowledgeGraph', 'graph.Vertex', 'walkers.RandomWalker', 'rdf2vec.RDF2VecTransformer', 'networkx', 'scipy.sparse', 'collections.defaultdict', 'collections.Counter', 'collections.OrderedDict', 'functools.lru_cache', 'heapq', 'os', 'itertools', 'time', 'scipy.stats.entropy', 'hashlib.md5', 'copy', 'sklearn.base.ClassifierMixin', 'sklearn.base.TransformerMixin', 'sklearn.base.BaseEstimator', 'joblib.Parallel', 'joblib.delayed', 'multiprocessing.Pool', 'multiprocessing.pool.ThreadPool', 'psutil', 'urllib', 'sklearn.cluster.KMeans']"
CORD-19-LDA-Topic-modeling-reccomendation-system,"4,729",81,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys', 'IPython.display.FileLink', 'ktrain']"
Country-Based Study on COVID-19,"1,352",2264,"['numpy', 'pandas', 'csv', 'os.path', 'datetime', 'copy', 'datetime.datetime', 'matplotlib.pyplot', 'itertools', 'plotly.express']"
A Comprehensive Resource Notebook For Beginners,"2,086",2635,"['numpy', 'pandas', 'os', 'seaborn', 'IPython.display.IFrame', 'IPython.display.YouTubeVideo', 'json##CODETOPRINTAJSONFILETOCHECKITSSTRUCTURE']"
Most Common Words in the CORD-19 Dataset,"4,993",219,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'warnings', 'json']"
Create Corona .csv File,"2,509",2,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys']"
 COVID-19: Top2Vec Interactive Search,62,1172,"['numpy', 'pandas', 'json', 'os', 'ipywidgets', 'IPython.display.clear_output', 'IPython.display.display', 'top2vec.Top2Vec']"
COVID EDA: Initial Exploration Tool,"1,654",331,"['numpy', 'pandas', 'matplotlib.pyplot', 'glob', 'json']"
Risks of COVID-19 - AI driven Q&A,"1,261",2371,"['os', 'json', 'warnings', 'sentence_transformers.SentenceTransformer', 'scipy', 'IPython.display.display', 'IPython.display.Markdown', 'IPython.display.Latex']"
kernel5e2466e43e,15,52,"['numpy', 'pandas', 'json']"
Corona Virus Data Visualization ,"1,389",1206,[]
COVID-19: Deep Embedded Literature Clustering,40,2686,"['numpy', 'pandas', 'glob', 'json', 'matplotlib.pyplot', 're', 'keras.preprocessing.text.Tokenizer', 'keras.preprocessing.sequence.pad_sequences', 'sklearn.preprocessing.MinMaxScaler', 'time.time', 'keras.backend', 'keras.engine.topology.Layer', 'keras.engine.topology.InputSpec', 'keras.layers.Dense', 'keras.layers.Input', 'keras.layers.Embedding', 'keras.models.Model', 'keras.optimizers.SGD', 'keras.callbacks', 'keras.initializers.VarianceScaling', 'sklearn.cluster.KMeans', 'keras.utils.plot_model', 'IPython.display.Image', 'sklearn.decomposition.PCA', 'matplotlib.pyplotasplt', 'seaborn']"
Exploring_corona_competition,9,457,"['numpy', 'pandas', 'os', 'tqdm', 'gensim.models.word2vec.Word2Vec', 'nltk.tokenize.word_tokenize']"
COVID-19 - Search Engine with Bert,553,1710,"['numpy', 'pandas', 'scipy', 'os', 'json', 'warnings', 'sklearn.metrics.pairwise.cosine_similarity', 'sentence_transformers.SentenceTransformer', 'tqdm.tqdm']"
CoronaVirus (COVID-19) Outbreak Data Analysis,"1,581",3869,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'plotly.express', 'folium', 'plotly.offline', 'plotly.offline.iplot', 'plotly.offline.init_notebook_mode', 'plotly.graph_objs', 'datetime.date', 'plotly.subplots.make_subplots']"
summary page vaccines and therapeutics,284,5177,"['numpy', 'pandas', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer']"
KeyPhrase Extraction and Graph analysis,604,3473,"['pandas', 'pke.base.LoadFile', 'string.punctuation', 'nltk.corpus.stopwords', 'string', 'collections.defaultdict', 'os', 'sys', 'gzip', 'pke.unsupervised.KPMiner', 'pke.load_document_frequency_file', 'wordcloud.WordCloud', 'matplotlib', 'matplotlib.pyplot', 'networkx', 'networkx.algorithms.community.label_propagation_communities', 'fa2.ForceAtlas2', 'pyvis.network.Network', 'flashtext.KeywordProcessor', 'nltk.tokenize.sent_tokenize']"
summary page COVID-19 risk factors,607,2755,"['numpy', 'pandas', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer']"
COVID-19 LDA Notebook,59,302,"['os', 'glob', 'json', 'pandas', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'tqdm.notebook.tqdm', 'nltk', 'nltk.corpus.wordnet', 'spacy', 'en_core_sci_lg', 'spacy_langdetect.LanguageDetector', 'joblib', 'scipy.spatial.distance']"
Visualization of Virus Origin & Genetic Evolution,100,2341,"['numpy', 'pandas', 'os', 'matplotlib.pyplot', 'tqdm.tqdm_notebook', 'sklearn.preprocessing.StandardScaler', 'sklearn.svm.NuSVR', 'sklearn.svm.SVR', 'sklearn.metrics.mean_absolute_error', 'lightgbm', 'xgboost', 'time', 'datetime', 'catboost.CatBoostRegressor', 'sklearn.preprocessing.LabelEncoder', 'sklearn.model_selection.StratifiedKFold', 'sklearn.model_selection.KFold', 'sklearn.model_selection.RepeatedKFold', 'sklearn.metrics', 'sklearn.linear_model', 'gc', 'seaborn', 'warnings', 'IPython.display.HTML', 'json', 'altair', 'networkx', 'numba.jit', 'catboost.CatBoostClassifier', 'itertools.product', 'altair.vega.v5', 'glob']"
Most mentioned antivirals,"1,175",2276,"['pandas', 'numpy', 'json', 'os.path', 're', 'distance', 'matplotlib.pyplot', 'itertools.combinations', 'textblob.TextBlob', 'nltk']"
Epidemiological curves using ECDC data,"1,651",2118,[]
CORD-19 Metadata Evaluation,"2,036",257,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'time', 'warnings']"
